phrase,count
google cloud,19
ai mode,15
gemini app,13
alphabet google,11
google services,10
year year,10
question comes,9
operator question,8
operator question comes,8
sundar pichai,8
tpu hardware,8
ceo alphabet,7
ceo alphabet google,7
gemini enterprise,7
philipp schindler,7
pichai ceo,7
pichai ceo alphabet,7
sundar pichai ceo,7
ai overviews,6
cbo google,6
data centers,6
google thanks,6
increased billion,6
philipp schindler svp,6
revenue growth,6
schindler svp,6
schindler svp cbo,6
strong demand,6
svp cbo,6
svp cbo google,6
use cases,6
advertising revenues,5
agentic commerce,5
agentic workflows,5
ai infrastructure,5
ai models,5
ai solutions,5
alphabet google thanks,5
anat ashkenazi,5
billion quarter,5
enterprise ai,5
little bit,5
operating margin,5
quarter billion,5
quarter year,5
second question,5
strong growth,5
supply chain,5
technical infrastructure,5
thanks taking,5
